Process ID	Arrival time	CPU time required	Completion time	Response time
         7	           0	                6	              6	            6
      2001	           0	               20	             26	           26
      2002	           1	               10	             36	           35
      2005	           2	               10	             46	           44
      2007	           3	                4	             50	           47
      1006	          71	               20	             91	           20
      1008	          72	                2	             93	           21
      1010	          80	               21	            114	           34
      1011	          80	               32	            146	           66
      1111	          80	               53	            199	          119
      3772	         200	              100	            300	          100
      3777	         230	                3	            303	           73
      3779	         230	                4	            307	           77
      3784	         230	                2	            309	           79
      3788	         230	                1	            310	           80
      3795	         230	               40	            350	          120
      8119	         350	                9	            359	            9
      8129	         351	                6	            365	           14
      5000	         400	                2	            402	            2
      5001	         401	                1	            403	            2
      5002	         402	                1	            404	            2
      5007	         403	                3	            407	            4
      4411	         420	               10	            430	           10
      4421	         429	               10	            440	           11
      4431	         438	               10	            450	           12
      4441	         447	               10	            460	           13
      4451	         456	               40	            500	           44
      7999	         456	                2	            502	           46
      9999	         456	              300	            802	          346
      7909	         458	                2	            804	          346
      7989	         460	                2	            806	          346
      7919	         461	                1	            807	          346
      7979	         461	                1	            808	          347
      7929	         462	                2	            810	          348
         1	         500	              190	           1000	          500
        77	         501	               10	           1010	          509

Mean response time:		116.777778
Variance in response time:	22611.333333
All times are in 100ms units
