Command line options:		./edavis_prog3 36 10

Sources (number of processes):		36
Timeslice (used in Round Robin schedulers):	10

Input data:
Process ID	Arrival time	CPU time required
         7	           0	                6
      2001	           0	               20
      2002	           1	               10
      2005	           2	               10
      2007	           3	                4
      1006	          71	               20
      1008	          72	                2
      1010	          80	               21
      1011	          80	               32
      1111	          80	               53
      3772	         200	              100
      3777	         230	                3
      3779	         230	                4
      3784	         230	                2
      3788	         230	                1
      3795	         230	               40
      8119	         350	                9
      8129	         351	                6
      5000	         400	                2
      5001	         401	                1
      5002	         402	                1
      5007	         403	                3
      4411	         420	               10
      4421	         429	               10
      4431	         438	               10
      4441	         447	               10
      4451	         456	               40
      7999	         456	                2
      9999	         456	              300
      7909	         458	                2
      7989	         460	                2
      7919	         461	                1
      7979	         461	                1
      7929	         462	                2
         1	         500	              190
        77	         501	               10

All times are in 100ms units
