Process ID	Arrival time	CPU time required	Completion time	Response time
         7	           0	                6	             40	           40
      2001	           0	               20	             50	           50
      2002	           1	               10	             25	           24
      2005	           2	               10	             16	           14
      2007	           3	                4	              7	            4
      1006	          71	               20	            153	           82
      1008	          72	                2	             74	            2
      1010	          80	               21	            174	           94
      1011	          80	               32	            186	          106
      1111	          80	               53	            199	          119
      3772	         200	              100	            366	          166
      3777	         230	                3	            250	           20
      3779	         230	                4	            247	           17
      3784	         230	                2	            243	           13
      3788	         230	                1	            241	           11
      3795	         230	               40	            310	           80
      8119	         350	                9	            365	           15
      8129	         351	                6	            357	            6
      5000	         400	                2	            409	            9
      5001	         401	                1	            408	            7
      5002	         402	                1	            407	            5
      5007	         403	                3	            406	            3
      4411	         420	               10	            492	           72
      4421	         429	               10	            491	           62
      4431	         438	               10	            490	           52
      4441	         447	               10	            489	           42
      4451	         456	               40	            592	          136
      7999	         456	                2	            478	           22
      9999	         456	              300	           1012	          556
      7909	         458	                2	            468	           10
      7989	         460	                2	            467	            7
      7919	         461	                1	            466	            5
      7979	         461	                1	            465	            4
      7929	         462	                2	            464	            2
         1	         500	              190	            902	          402
        77	         501	               10	            511	           10

Mean response time:		63.027778
Variance in response time:	12204.250000
All times are in 100ms units
