Process ID	Arrival time	CPU time required	Completion time	Response time
         7	           0	                6	              6	            6
      2001	           0	               20	             50	           50
      2002	           1	               10	             26	           25
      2005	           2	               10	             36	           34
      2007	           3	                4	             40	           37
      1006	          71	               20	            123	           52
      1008	          72	                2	             83	           11
      1010	          80	               21	            154	           74
      1011	          80	               32	            176	           96
      1111	          80	               53	            199	          119
      3772	         200	              100	            350	          150
      3777	         230	                3	            233	            3
      3779	         230	                4	            237	            7
      3784	         230	                2	            239	            9
      3788	         230	                1	            240	           10
      3795	         230	               40	            310	           80
      8119	         350	                9	            359	            9
      8129	         351	                6	            365	           14
      5000	         400	                2	            402	            2
      5001	         401	                1	            403	            2
      5002	         402	                1	            404	            2
      5007	         403	                3	            407	            4
      4411	         420	               10	            430	           10
      4421	         429	               10	            440	           11
      4431	         438	               10	            450	           12
      4441	         447	               10	            460	           13
      4451	         456	               40	            570	          114
      7999	         456	                2	            472	           16
      9999	         456	              300	           1010	          554
      7909	         458	                2	            484	           26
      7989	         460	                2	            486	           26
      7919	         461	                1	            487	           26
      7979	         461	                1	            488	           27
      7929	         462	                2	            490	           28
         1	         500	              190	            910	          410
        77	         501	               10	            540	           39

Mean response time:		58.555556
Variance in response time:	12083.055556
All times are in 100ms units
