Process ID	Arrival time	Completion time	Response time
         7	           0	              6	            6
      2001	           0	             26	           26
      2002	           1	             36	           35
      2005	           2	             46	           44
      2007	           3	             50	           47
      1006	          71	             91	           20
      1008	          72	             93	           21
      1010	          80	            114	           34
      1011	          80	            146	           66
      1111	          80	            199	          119
      3772	         200	            300	          100
      3777	         230	            303	           73
      3779	         230	            307	           77
      3784	         230	            309	           79
      3788	         230	            310	           80
      3795	         230	            350	          120
      8119	         350	            359	            9
      8129	         351	            365	           14
      5000	         400	            402	            2
      5001	         401	            403	            2
      5002	         402	            404	            2
      5007	         403	            407	            4
      4411	         420	            430	           10
      4421	         429	            440	           11
      4431	         438	            450	           12
      4441	         447	            460	           13
      4451	         456	            500	           44
      7999	         456	            502	           46
      9999	         456	            802	          346
      7909	         458	            804	          346
      7989	         460	            806	          346
      7919	         461	            807	          346
      7979	         461	            808	          347
      7929	         462	            810	          348
         1	         500	           1000	          500
        77	         501	           1010	          509

Mean response time:116.777778
Variance in response time:22611.333333
All times are in 100ms units
