Process ID	Arrival time	Completion time	Response time
         7	           0	             25	           25
      2001	           0	             50	           50
      2002	           1	             35	           34
      2005	           2	             40	           38
      2007	           3	             24	           21
      1006	          71	            123	           52
      1008	          72	             78	            6
      1010	          80	            154	           74
      1011	          80	            176	           96
      1111	          80	            199	          119
      3772	         200	            350	          150
      3777	         230	            233	            3
      3779	         230	            237	            7
      3784	         230	            239	            9
      3788	         230	            240	           10
      3795	         230	            315	           85
      8119	         350	            364	           14
      8129	         351	            365	           14
      5000	         400	            402	            2
      5001	         401	            403	            2
      5002	         402	            404	            2
      5007	         403	            407	            4
      4411	         420	            430	           10
      4421	         429	            440	           11
      4431	         438	            450	           12
      4441	         447	            460	           13
      4451	         456	            575	          119
      7999	         456	            467	           11
      9999	         456	           1010	          554
      7909	         458	            474	           16
      7989	         460	            476	           16
      7919	         461	            477	           16
      7979	         461	            478	           17
      7929	         462	            480	           18
         1	         500	            910	          410
        77	         501	            540	           39

Mean response time:57.750000
Variance in response time:12181.694444
All times are in 100ms units
