
Word                   | Count   | Lines
--------------------------------------------------------------------------------
1                      | 4       | 11 299 411 459 
10                     | 1       | 276 
2                      | 4       | 17 367 420 466 
3                      | 4       | 53 391 446 482 
4                      | 3       | 94 403 496 
5                      | 1       | 105 
6                      | 1       | 128 
7                      | 1       | 145 
8                      | 1       | 177 
9                      | 1       | 242 
a                      | 49      | 3 13 14 24 25 32 70 71 78 103 108 109 116 
                       |         | 118 130 142 152 160 165 167 170 175 213 215 
                       |         | 267 280 293 301 307 314 321 325 328 329 330 
                       |         | 340 344 352 417 427 428 430 434 471 508 536 
ability                | 1       | 364 
abr                    | 1       | 593 
absence                | 1       | 79 
absent                 | 1       | 111 
absolutely             | 1       | 285 
accept                 | 1       | 273 
acceptance             | 1       | 231 
according              | 4       | 30 92 174 226 
accordingly            | 1       | 352 
account                | 1       | 267 
act                    | 2       | 351 451 
acts                   | 2       | 461 463 
actual                 | 2       | 34 371 
actually               | 1       | 294 
adding                 | 1       | 31 
adhering               | 1       | 449 
adjourn                | 1       | 125 
adjournment            | 3       | 166 171 397 
admiralty              | 1       | 426 
admit                  | 2       | 245 295 
admitted               | 1       | 484 
adoption               | 1       | 341 
advice                 | 2       | 377 379 
affect                 | 1       | 514 
affecting              | 2       | 425 433 
affirm                 | 1       | 362 
affirmation            | 3       | 83 362 535 
after                  | 5       | 35 59 156 164 331 
against                | 7       | 162 207 375 448 449 501 522 
age                    | 3       | 25 70 343 
agree                  | 1       | 157 
agreement              | 1       | 293 
aid                    | 1       | 449 
alexander              | 1       | 607 
all                    | 33      | 13 33 82 132 147 160 181 229 233 237 238 
                       |         | 268 286 288 314 319 330 381 387 400 405 422 
                       |         | 424 425 433 435 440 468 490 509 521 526 533 
alliance               | 1       | 278 
alone                  | 1       | 385 
also                   | 1       | 78 
alter                  | 1       | 98 
ambassadors            | 3       | 380 425 433 
amendment              | 1       | 513 
amendments             | 3       | 148 506 508 
america                | 3       | 7 302 557 
among                  | 2       | 29 186 
an                     | 8       | 26 72 189 309 310 313 323 546 
and                    | 175     | 5 6 14 20 25 26 29 33 36 40 44 50 51 57 63 
                       |         | 64 71 78 85 89 91 92 96 101 108 110 111 115 
                       |         | 118 120 130 131 134 135 141 151 156 159 161 
                       |         | 170 172 174 179 180 186 187 189 192 193 198 
                       |         | 200 201 202 206 207 209 210 212 215 217 221 
                       |         | 223 226 231 232 235 237 238 246 267 268 271 
                       |         | 279 280 286 287 288 289 302 312 314 315 316 
                       |         | 319 322 323 325 330 336 344 347 348 350 351 
                       |         | 357 364 369 370 374 377 379 380 381 394 395 
                       |         | 396 399 400 405 406 407 414 415 416 422 423 
                       |         | 425 426 428 430 431 433 434 437 441 461 462 
                       |         | 464 472 490 491 492 499 500 509 514 515 521 
                       |         | 525 526 528 532 533 534 545 548 549 556 562 
another                | 6       | 262 264 293 428 472 477 
any                    | 37      | 46 66 89 98 121 125 135 136 139 163 244 259 
                       |         | 261 272 273 274 278 280 281 282 284 287 291 
                       |         | 342 358 373 442 471 477 485 486 493 514 529 
                       |         | 536 
appellate              | 1       | 436 
application            | 2       | 500 507 
appoint                | 3       | 103 306 380 
appointed              | 3       | 139 310 322 
appointment            | 2       | 225 384 
appointments           | 2       | 67 382 
apportioned            | 1       | 29 
appropriation          | 1       | 212 
appropriations         | 1       | 267 
approve                | 1       | 153 
approved               | 2       | 159 172 
are                    | 1       | 382 
